FN	-2977	-2931	-2885	-2839	-2793	-2747	-2701	-2655	-2609	-2563	-2517	-2471	-2425	-2379	-2333	-2287	-2241	-2195	-2149	-2103	-2057	-2011	-1965	-1919	-1873	-1827	-1781	-1735	-1689	-1643	-1597	-1551	-1505	-1459	-1413	-1367	-1321	-1275	-1229	-1183	-1137	-1091	-1045	-999	-953	-907	-861	-815	-769	-723	-677	-631	-585	-539	-493	-447	-401	-355	-309	-263	-217	-171	-125	-79	-33	13	59	105	151	197	243	289	335	381	427	473	519	565	611	657	703	749	795	841	887	933	979	1025	1071	1117	1163	1209	1255	1301	1347	1393	1439	1485	1531	1577	1623	1669	1715	1761	1807	1853	1899	1945	1991	2037	2083	2129	2175	2221	2267	2313	2359	2405	2451	2497	2543	2589	2635	2681	2727	2773	2819	2865
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	119	209	255	276	275	307	332	271	259	290	277	235	201	195	198	155	184	164	168	138	130	156	126	118	111	98	98	117	102	97	75	86	80	65	51	71	65	66	52	56	49	47	38	32	53	44	35	29	29	49	30	27	29	24	23	20	17	26	16	17	31	24	19	15	12	15	12	12	13	10	9	12	2	12	5	7	8	4	14	11	2	7	8	7	173
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	23	48	75	73	79	94	95	96	123	142	161	164	159	212	174	199	215	177	179	191	213	192	210	219	198	182	163	222	181	163	188	157	139	160	123	132	112	107	90	95	72	89	46	51	56	51	45	35	45	32	43	37	43	33	38	35	23	30	24	36	27	22	19	27	16	22	23	23	12	22	17	17	10	23	18	14	14	20	9	9	12	17	13	8	11	14	7	9	9	4	3	6	165
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	22	41	47	54	71	76	85	88	104	105	155	153	163	168	165	193	191	174	207	204	198	218	205	180	176	182	146	183	161	153	145	158	133	119	115	111	112	105	94	88	95	61	80	84	82	81	74	64	69	58	53	46	49	49	47	49	34	45	39	36	38	42	24	33	30	31	29	30	26	21	29	33	17	23	18	19	16	15	21	12	15	18	12	17	11	5	10	10	10	8	9	7	9	7	125
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	327	488	419	410	351	313	271	244	227	237	186	188	175	160	144	155	129	107	92	95	128	108	112	86	86	85	81	93	76	71	92	66	68	57	55	58	72	55	40	53	53	44	45	30	41	33	31	46	29	37	31	37	22	22	25	20	32	30	24	19	15	16	19	22	12	18	17	13	21	13	6	12	9	15	13	11	6	15	7	9	5	5	165
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	68	109	161	224	242	236	208	201	181	197	181	134	131	144	133	142	111	99	104	103	104	81	95	85	91	105	92	100	101	97	94	86	101	108	107	115	86	97	101	97	96	102	102	100	88	79	102	93	88	84	87	63	63	57	65	64	44	45	51	41	48	39	35	28	30	37	21	30	23	16	4	3	1	1	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	6	8	7	6	5	8	9	10	10	17	17	18	9	16	18	11	15	21	17	20	22	20	20	25	35	29	24	33	34	35	24	32	28	35	51	44	40	42	36	48	35	41	43	58	48	38	60	38	44	47	51	61	56	73	59	62	71	75	101	94	92	79	81	106	91	102	112	117	160	138	162	167	212	209	250	281	279	322	311	382	397	362	849	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
6	1	0	5	4	4	10	3	5	5	6	11	5	5	9	8	5	5	7	12	8	10	11	17	7	14	18	14	12	13	19	22	17	13	24	15	28	31	32	38	43	59	48	54	65	55	64	100	89	100	113	151	157	156	179	160	162	195	198	164	194	172	187	180	193	213	202	194	176	178	166	179	163	148	154	135	120	104	94	104	70	81	76	66	63	61	59	49	49	40	41	34	41	35	25	36	27	17	27	21	16	28	22	21	21	15	19	10	17	12	8	11	10	9	6	13	10	6	13	11	6	11	9	9	8	5	2	6	147
7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	2	2	1	2	7	5	9	17	20	21	32	29	41	41	47	57	73	75	70	66	106	112	111	98	103	121	113	120	88	113	121	137	127	116	113	119	127	130	104	110	117	104	108	106	107	118	104	112	105	105	110	112	108	92	88	123	98	94	92	106	87	92	98	109	85	94	97	88	87	101	105	86	86	86	79	89	102	85	84	79	62	72	81	55	63	45	41	27	23	16	15	16	14	5	4	6	8	3	1	7	6	3	4	1	1	1	4	2	0	1	0	14
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	2	6	14	11	14	27	39	53	51	73	91	94	104	110	119	121	141	140	133	145	144	145	131	130	146	137	146	136	129	130	121	142	144	119	120	131	109	119	116	123	104	113	107	112	108	116	108	95	104	116	98	111	98	88	113	89	85	92	72	96	87	79	80	60	55	63	58	36	56	56	53	52	42	38	38	36	32	30	27	27	26	20	24	15	15	15	14	16	12	13	8	7	9	9	4	4	3	5	2	4	5	3	66
