		crustacean	crustacean	crustacean	detritus	detritus	detritus	echinoderm	echinoderm	elongate	elongate	elongate		gelatinous	gelatinous	gelatinous	gelatinous		mollusc			phytoplankton	phytoplankton	phytoplankton	protist	protist	protist	protist	protist	protist	protist	radiolarian	trichodesmium	Trichodesmium
Class_Names	Count	copepod	eumalacostracan	ostracod	blob	oildroplet	snow	bipinnaria	plutei	chaetognath	polychaete	strands	fish	ctenophore	hydromedusae	siphonophore	tunicate	larvacean	pteropod	noise	other	chaetoceros	chain	noctiluca	acantharia	diffuse	knobby	lopsided	radio	spiny	thalassicola	ribboncolony	colonies	elongate
protist_knobby	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0
protist_lopsided	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827	0	0	0	0	0	0
protist_radio	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0
protist_spiny	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0
protist_thalassicola	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
radiolarian_ribboncolony	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0
trichodesmium_colonies	955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	0
Trichodesmium_elongate	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233
Totals	28442	3081	1087	634	1327	1075	4534	374	361	1017	305	316	460	468	2412	519	1788	536	673	1914	103	234	780	253	179	446	351	827	447	387	201	165	955	233


crustacean_copepod	10.83%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
crustacean_eumalacostracan	3.83%	0.000%	99.908%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.092%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
crustacean_ostracod	2.23%	0.000%	0.000%	100.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%	0.000%
